DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
230124494,11/20/2023 0:00,11/20/2023 0:00,1315,1,Central,152,1,510,VEHICLE - STOLEN,,0,,,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,510,,,,700 W  7TH                          ST,,34.0491,-118.2558
231916842,11/20/2023 0:00,11/20/2023 0:00,410,19,Mission,1963,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0448 0444,0,,,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,9800    VESPER                       AV,,34.2482,-118.4502
231115983,11/20/2023 0:00,11/20/2023 0:00,1300,11,Northeast,1145,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416 1822,0,,,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",302,BLUNT INSTRUMENT,IC,Invest Cont,230,,,,1900    RIVERSIDE                    DR,,34.0972,-118.2465
230817068,11/20/2023 0:00,11/20/2023 0:00,140,8,West LA,832,1,648,ARSON,,49,M,O,507,CONDOMINIUM/TOWNHOUSE,506,FIRE,IC,Invest Cont,648,,,,1100 S  BARRINGTON                   AV,,34.0511,-118.4626
230717367,11/20/2023 0:00,11/20/2023 0:00,330,7,Wilshire,759,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),,0,,,708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),,,IC,Invest Cont,331,,,,1200    WESTCHESTER                  PL,,34.0495,-118.3179
232018122,11/20/2023 0:00,11/20/2023 0:00,1000,20,Olympic,2014,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 1243 0448 0400 0432 0443,0,,,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,200 S  NORMANDIE                    AV,,34.0726,-118.3029
232018099,11/20/2023 0:00,11/20/2023 0:00,322,20,Olympic,2036,1,310,BURGLARY,1822 0342 0344 0216 0378 1607 0315 0358,0,,,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,700 S  VERMONT                      AV,,34.0598,-118.2935
231223411,11/20/2023 0:00,11/20/2023 0:00,230,12,77th Street,1267,1,761,BRANDISH WEAPON,0334 1822,53,F,B,101,STREET,102,HAND GUN,IC,Invest Cont,761,,,,8400 S  GRAND                        AV,,33.9633,-118.2803
230124452,11/20/2023 0:00,11/20/2023 0:00,200,1,Central,182,1,210,ROBBERY,,17,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,12TH                         ST,FIGUEROA                     ST,34.0419,-118.2669
230516016,11/20/2023 0:00,11/20/2023 0:00,1520,5,Harbor,541,2,624,BATTERY - SIMPLE ASSAULT,416,0,,,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1100 N  GAFFEY                       ST,,33.7547,-118.3011
230221285,11/20/2023 0:00,11/20/2023 0:00,2015,2,Rampart,246,2,888,TRESPASSING,0910 1822 1501,0,,,904,MTA - RED LINE - WESTLAKE/MACARTHUR PARK,,,IC,Invest Cont,888,,,,600 S  ALVARADO                     ST,,34.0595,-118.2749
231223405,11/20/2023 0:00,11/20/2023 0:00,30,12,77th Street,1283,1,210,ROBBERY,0302 0315 0324 0334 0337 0432 1309 0209 1822,22,X,X,244,TOBACCO SHOP,102,HAND GUN,IC,Invest Cont,210,,,,2100 W  CENTURY                      BL,,33.9455,-118.3093
231819667,11/20/2023 0:00,11/20/2023 0:00,2020,18,Southeast,1863,1,210,ROBBERY,0344 0913 0360 0416 0429 0302 0308 0337 0443 0342,0,,,501,SINGLE FAMILY DWELLING,106,UNKNOWN FIREARM,IC,Invest Cont,210,,,,300 E  119TH                        ST,,33.9247,-118.2696
232018114,11/20/2023 0:00,11/20/2023 0:00,1450,20,Olympic,2053,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 1820 0334 0447 0416 0400 0445 0432 0443 1912,0,,,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,IC,Invest Cont,230,,,,900 S  OXFORD                       AV,,34.0529,-118.3074
231916850,11/20/2023 0:00,11/20/2023 0:00,200,19,Mission,1971,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,9000    LANGDON                      AV,,34.2338,-118.4698
230221275,11/20/2023 0:00,11/20/2023 0:00,1130,2,Rampart,218,2,624,BATTERY - SIMPLE ASSAULT,0448 1236 1822 2021 2003,0,,,252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1500 W  SUNSET                       BL,,34.0758,-118.2552
